business_name,contact,address,website,category,location,scraped_at,source
B2B Solutions Agra,+91 9765432100,"Industrial Area 1, Agra",https://b2bsolutionsagra.co.in,Professional Services (CRM/Software),Agra,2025-08-06 10:24:24,IndiaMART
Commercial Enterprise Agra,+91 9765432101,"Industrial Area 2, Agra",https://commercialenterpriseagra.co.in,Professional Services (CRM/Software),Agra,2025-08-06 10:24:24,IndiaMART
Business Center Agra,+91 9876543210,"1 Main Street, Agra",https://businesscenteragra.com,Professional Services (CRM/Software),Agra,2025-08-06 10:24:10,JustDial
Service Point Agra,+91 9876543211,"2 Main Street, Agra",https://servicepointagra.com,Professional Services (CRM/Software),Agra,2025-08-06 10:24:10,JustDial
Commercial Hub Agra,+91 9876543212,"3 Main Street, Agra",https://commercialhubagra.com,Professional Services (CRM/Software),Agra,2025-08-06 10:24:10,JustDial
B2B Solutions agra,+91 9765432100,"Industrial Area 1, agra",https://b2bsolutionsagra.co.in,Retail Businesses (E-commerce Setup),agra,2025-08-06 10:11:14,IndiaMART
Commercial Enterprise agra,+91 9765432101,"Industrial Area 2, agra",https://commercialenterpriseagra.co.in,Retail Businesses (E-commerce Setup),agra,2025-08-06 10:11:14,IndiaMART
Business Center agra,+91 9876543210,"1 Main Street, agra",https://businesscenteragra.com,Retail Businesses (E-commerce Setup),agra,2025-08-06 10:11:04,JustDial
Service Point agra,+91 9876543211,"2 Main Street, agra",https://servicepointagra.com,Retail Businesses (E-commerce Setup),agra,2025-08-06 10:11:04,JustDial
Commercial Hub agra,+91 9876543212,"3 Main Street, agra",https://commercialhubagra.com,Retail Businesses (E-commerce Setup),agra,2025-08-06 10:11:04,JustDial
Global Suppliers Agra,+91 9765432100,"Industrial Area 1, Agra",https://globalsuppliersagra.co.in,suppliers,Agra,2025-08-06 09:45:28,IndiaMART
Prime Supply Co Agra,+91 9765432101,"Industrial Area 2, Agra",https://primesupplycoagra.co.in,suppliers,Agra,2025-08-06 09:45:28,IndiaMART
Metro Manufacturing Agra,+91 9765432100,"Industrial Area 1, Agra",https://metromanufacturingagra.co.in,manufacturers,Agra,2025-08-06 09:45:28,IndiaMART
Industrial Works Agra,+91 9765432101,"Industrial Area 2, Agra",https://industrialworksagra.co.in,manufacturers,Agra,2025-08-06 09:45:28,IndiaMART
Spice Garden Restaurant Agra,+91 9876543210,"1 Main Street, Agra",https://spicegardenrestaurantagra.com,restaurants,Agra,2025-08-06 09:45:04,JustDial
Royal Dining Agra,+91 9876543211,"2 Main Street, Agra",https://royaldiningagra.com,restaurants,Agra,2025-08-06 09:45:04,JustDial
Curry Palace Agra,+91 9876543212,"3 Main Street, Agra",https://currypalaceagra.com,restaurants,Agra,2025-08-06 09:45:04,JustDial
City Store Agra,+91 9876543210,"1 Main Street, Agra",https://citystoreagra.com,shops,Agra,2025-08-06 09:45:04,JustDial
Fashion Plaza Agra,+91 9876543211,"2 Main Street, Agra",https://fashionplazaagra.com,shops,Agra,2025-08-06 09:45:04,JustDial
Electronics Hub Agra,+91 9876543212,"3 Main Street, Agra",https://electronicshubagra.com,shops,Agra,2025-08-06 09:45:04,JustDial
Directory Listing Mumbai,+91 9654321000,"Commercial Street 1, Mumbai",https://directorylistingmumbai.in,restaurants,Mumbai,2025-08-06 09:44:06,Yellow Pages
Local Business Mumbai,+91 9654321001,"Commercial Street 2, Mumbai",https://localbusinessmumbai.in,restaurants,Mumbai,2025-08-06 09:44:06,Yellow Pages
B2B Solutions Mumbai,+91 9765432100,"Industrial Area 1, Mumbai",https://b2bsolutionsmumbai.co.in,restaurants,Mumbai,2025-08-06 09:43:57,IndiaMART
Commercial Enterprise Mumbai,+91 9765432101,"Industrial Area 2, Mumbai",https://commercialenterprisemumbai.co.in,restaurants,Mumbai,2025-08-06 09:43:57,IndiaMART
Spice Garden Restaurant Mumbai,+91 9876543210,"1 Main Street, Mumbai",https://spicegardenrestaurantmumbai.com,restaurants,Mumbai,2025-08-06 09:43:43,JustDial
Royal Dining Mumbai,+91 9876543211,"2 Main Street, Mumbai",https://royaldiningmumbai.com,restaurants,Mumbai,2025-08-06 09:43:43,JustDial
Curry Palace Mumbai,+91 9876543212,"3 Main Street, Mumbai",https://currypalacemumbai.com,restaurants,Mumbai,2025-08-06 09:43:43,JustDial
Pizza Palace Borivali,9564934114,"71 Street, Borivali, Mumbai",https://pizzapalaceborivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Burger Junction Juhu,+91-9060630202,"286 Avenue, Juhu, Mumbai",https://burgerjunctionjuhu.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Spice Garden Goregaon,+91-8675614260,"853 Main Road, Goregaon, Mumbai",https://spicegardengoregaon.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Royal Dine Borivali,+91-7038734124,"617 Lane, Borivali, Mumbai",https://royaldineborivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Cafe Corner Kandivali,+91-8190075291,"288 Avenue, Kandivali, Mumbai",https://cafecornerkandivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Food Express Powai,9901257355,"19 Avenue, Powai, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
