business_name,contact,address,website,category,location,scraped_at,source
Pizza Palace Borivali,9564934114,"71 Street, Borivali, Mumbai",https://pizzapalaceborivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Burger Junction Juhu,+91-9060630202,"286 Avenue, Juhu, Mumbai",https://burgerjunctionjuhu.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Spice Garden Goregaon,+91-8675614260,"853 Main Road, Goregaon, Mumbai",https://spicegardengoregaon.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Royal Dine Borivali,+91-7038734124,"617 Lane, Borivali, Mumbai",https://royaldineborivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Cafe Corner Kandivali,+91-8190075291,"288 Avenue, Kandivali, Mumbai",https://cafecornerkandivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Food Express Powai,9901257355,"19 Avenue, Powai, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Taste Buds Bandra,+91-7321116451,"872 Main Road, Bandra, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Hunger Station Goregaon,+91-7685073163,"859 Main Road, Goregaon, Mumbai",https://hungerstationgoregaon.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Delicious Bites Kandivali,+91-7280373218,"689 Main Road, Kandivali, Mumbai",https://deliciousbiteskandivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Flavor Town Juhu,+91-9630389411,"771 Lane, Juhu, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Pizza Palace Andheri,+91-8233681649,"906 Street, Andheri, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Burger Junction Borivali,+91-7841157015,"365 Lane, Borivali, Mumbai",https://burgerjunctionborivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Spice Garden Goregaon,+91-9166593636,"619 Main Road, Goregaon, Mumbai",https://spicegardengoregaon.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
